setlist_id,venue_id,era_name,song_name,song_info,song_order
1ba415d8,13d0b545,Fearless,Fearless,shortened,8
1ba415d8,13d0b545,Fearless,You Belong With Me,,9
1ba415d8,13d0b545,Fearless,Love Story,,10
1ba415d8,13d0b545,evermore,"no body, no crime",,11
1ba415d8,13d0b545,evermore,willow,,12
1ba415d8,13d0b545,evermore,marjorie,shortened,13
1ba415d8,13d0b545,evermore,champagne problems,spoken intro,14
1ba415d8,13d0b545,evermore,tolerate it,,15
1ba415d8,13d0b545,reputation,...Ready for It?,,16
1ba415d8,13d0b545,reputation,Delicate,,17
1ba415d8,13d0b545,reputation,Don't Blame Me,shortened,18
1ba415d8,13d0b545,reputation,Look What You Made Me Do,,19
1ba415d8,13d0b545,Speak Now,Enchanted,,20
1ba415d8,13d0b545,Speak Now,Long Live,on guitar,21
1ba415d8,13d0b545,Red,Red,"contains elements of ""State of Grace"", ""Holy Ground"" and ""Red"" taped",22
1ba415d8,13d0b545,Red,22,,23
1ba415d8,13d0b545,Red,We Are Never Ever Getting Back Together,,24
1ba415d8,13d0b545,Red,I Knew You Were Trouble,shortened,25
1ba415d8,13d0b545,Red,All Too Well,10 minute version with spoken intro,26
1ba415d8,13d0b545,folklore,seven,"spoken word poem; contains elements of ""Wildest Dreams"" taped",27
1ba415d8,13d0b545,folklore,the 1,,28
1ba415d8,13d0b545,folklore,betty,spoken intro,29
1ba415d8,13d0b545,folklore,the last great american dynasty,,30
1ba415d8,13d0b545,folklore,august,,31
1ba415d8,13d0b545,folklore,illicit affairs,shortened,32
1ba415d8,13d0b545,folklore,my tears ricochet,,33
1ba415d8,13d0b545,folklore,cardigan,,34
1ba415d8,13d0b545,1989,Style,,35
1ba415d8,13d0b545,1989,Blank Space,,36
1ba415d8,13d0b545,1989,Shake It Off,,37
1ba415d8,13d0b545,1989,Wildest Dreams,shortened,38
1ba415d8,13d0b545,1989,Bad Blood,shortened,39
1ba415d8,13d0b545,Surprise Songs,Death by a Thousand Cuts,on guitar; repeated surprise song,40
1ba415d8,13d0b545,Surprise Songs,"You're on Your Own, Kid",on piano; repeated surprise song,41
1ba415d8,13d0b545,Midnights,Lavender Haze,,42
1ba415d8,13d0b545,Midnights,Anti‐Hero,,43
1ba415d8,13d0b545,Midnights,Midnight Rain,,44
1ba415d8,13d0b545,Midnights,Vigilante Shit,,45
1ba415d8,13d0b545,Midnights,Bejeweled,,46
1ba415d8,13d0b545,Midnights,Mastermind,,47
1ba415d8,13d0b545,Midnights,Karma,extended outro,48
3a421d7,13d0b545,,,"Fearless, End Game, Speak Now, evermore, gold rush, Red, Lavender Haze, Bejeweled elements taped",1
3a421d7,13d0b545,Lover,Miss Americana & the Heartbreak Prince,shortened,2
3a421d7,13d0b545,Lover,Cruel Summer,,3
3a421d7,13d0b545,Lover,The Man,,4
3a421d7,13d0b545,Lover,You Need to Calm Down,shortened,5
3a421d7,13d0b545,Lover,Lover,spoken intro; Taylor thanked openers Owenn and HAIM,6
3a421d7,13d0b545,Lover,The Archer,,7
3a421d7,13d0b545,Fearless,Fearless,shortened,8
3a421d7,13d0b545,Fearless,You Belong With Me,,9
3a421d7,13d0b545,Fearless,Love Story,,10
3a421d7,13d0b545,evermore,"no body, no crime",,11
3a421d7,13d0b545,evermore,willow,,12
3a421d7,13d0b545,evermore,marjorie,shortened,13
3a421d7,13d0b545,evermore,champagne problems,spoken intro,14
3a421d7,13d0b545,evermore,tolerate it,,15
3a421d7,13d0b545,Reputation,...Ready for It?,,16
3a421d7,13d0b545,Reputation,Delicate,,17
3a421d7,13d0b545,Reputation,Don't Blame Me,shortened,18
3a421d7,13d0b545,Reputation,Look What You Made Me Do,,19
3a421d7,13d0b545,Speak Now,Enchanted,,20
3a421d7,13d0b545,Speak Now,Long Live,on guitar,21
3a421d7,13d0b545,Red,Red,"contains elements of ""State of Grace"", ""Holy Ground"" and ""Red"" taped",22
3a421d7,13d0b545,Red,22,,23
3a421d7,13d0b545,Red,We Are Never Ever Getting Back Together,,24
3a421d7,13d0b545,Red,I Knew You Were Trouble,shortened,25
3a421d7,13d0b545,Red,All Too Well,10 minute version; spoken intro,26
3a421d7,13d0b545,Folklore,seven,"Spoken word poem; contains elements of ""Wildest Dreams"" taped",27
3a421d7,13d0b545,Folklore,the 1,,28
3a421d7,13d0b545,Folklore,betty,spoken intro,29
3a421d7,13d0b545,Folklore,the last great american dynasty,,30
3a421d7,13d0b545,Folklore,august,,31
3a421d7,13d0b545,Folklore,illicit affairs,shortened,32
3a421d7,13d0b545,Folklore,my tears ricochet,,33
3a421d7,13d0b545,Folklore,cardigan,,34
3a421d7,13d0b545,1989,Style,,35
3a421d7,13d0b545,1989,Blank Space,,36
3a421d7,13d0b545,1989,Shake It Off,,37
3a421d7,13d0b545,1989,Wildest Dreams,shortened,38
3a421d7,13d0b545,1989,Bad Blood,shortened,39
3a421d7,13d0b545,Surprise Songs,Our Song,on guitar; repeated surprise song,40
3a421d7,13d0b545,Surprise Songs,You Are in Love,on piano; first time since 2015,41
3a421d7,13d0b545,Midnights,Lavender Haze,,42
3a421d7,13d0b545,Midnights,Anti‐Hero,,43
3a421d7,13d0b545,Midnights,Midnight Rain,,44
3a421d7,13d0b545,Midnights,Vigilante Shit,,45
3a421d7,13d0b545,Midnights,Bejeweled,,46
3a421d7,13d0b545,Midnights,Mastermind,,47
3a421d7,13d0b545,Midnights,Karma,extended outro,48
73a42e0d,13d0b545,,,"Fearless, End Game, Speak Now, evermore, gold rush, Red, Lavender Haze, Bejeweled elements taped",1
73a42e0d,13d0b545,Lover,Miss Americana & the Heartbreak Prince,shortened,2
73a42e0d,13d0b545,Lover,Cruel Summer,,3
73a42e0d,13d0b545,Lover,The Man,,4
73a42e0d,13d0b545,Lover,You Need to Calm Down,shortened,5
73a42e0d,13d0b545,Lover,Lover,spoken intro; Taylor thanked openers Gracie Abrams and HAIM,6
73a42e0d,13d0b545,Lover,The Archer,,7
73a42e0d,13d0b545,Fearless,Fearless,shortened,8
73a42e0d,13d0b545,Fearless,You Belong With Me,,9
73a42e0d,13d0b545,Fearless,Love Story,,10
73a42e0d,13d0b545,evermore,"no body, no crime",,11
73a42e0d,13d0b545,evermore,willow,,12
73a42e0d,13d0b545,evermore,marjorie,shortened,13
73a42e0d,13d0b545,evermore,champagne problems,spoken intro,14
73a42e0d,13d0b545,evermore,tolerate it,extended outro,15
73a42e0d,13d0b545,reputation,...Ready for It?,,16
73a42e0d,13d0b545,reputation,Delicate,,17
73a42e0d,13d0b545,reputation,Don't Blame Me,shortened,18
73a42e0d,13d0b545,reputation,Look What You Made Me Do,,19
73a42e0d,13d0b545,Speak Now,Enchanted,,20
73a42e0d,13d0b545,Speak Now,Long Live,played on Koi fish guitar,21
73a42e0d,13d0b545,Red,Red - Intro,"Contains elements of ""State of Grace"", ""Holy Ground"" and ""Red"" taped",22
73a42e0d,13d0b545,Red,22,,23
73a42e0d,13d0b545,Red,We Are Never Ever Getting Back Together,,24
73a42e0d,13d0b545,Red,I Knew You Were Trouble,shortened,25
73a42e0d,13d0b545,Red,All Too Well,10 minute version; spoken intro,26
73a42e0d,13d0b545,folklore,seven,"spoken word poem; contains elements of ""Wildest Dreams"" taped",27
